,Headline:,Link:
0,Authorities seek man who left cat outside shelter overnight,"=HYPERLINK(""https://www.wane.com/news/local-news/authorities-seek-man-who-left-cat-outside-shelter-overnight/"")"
1,Records: Epstein signed will 2 days before jailhouse suicide,"=HYPERLINK(""https://www.wane.com/top-stories/records-epstein-signed-will-2-days-before-jailhouse-suicide/"")"
2,"Bicyclist, 69, hurt in crash with FWCS bus","=HYPERLINK(""https://www.wane.com/news/bicyclist-hurt-in-crash-with-school-bus-on-clinton-st/"")"
3,"Man, 19, drowns in DeKalb Co. pond","=HYPERLINK(""https://www.wane.com/news/local-news/man-19-drowns-in-dekalb-co-pond/"")"
4,Trail Buddies program and picnic are Positively Fort Wayne,"=HYPERLINK(""https://www.wane.com/news/positively-fort-wayne/trail-buddies-program-and-picnic-are-positively-fort-wayne/"")"
5,"Bicyclist, 69, hurt in crash with FWCS bus","=HYPERLINK(""https://www.wane.com/news/bicyclist-hurt-in-crash-with-school-bus-on-clinton-st/"")"
6,Sweet Breeze Fest returns for second year,"=HYPERLINK(""https://www.wane.com/video/sweet-breeze-fest-returns-for-second-year/"")"
7,Fort Wayne Cooks: Zinnia’s Bakehouse,"=HYPERLINK(""https://www.wane.com/video/fort-wayne-cooks-zinnias-bakehouse/"")"
8,More vendors expected for 2nd annual Epilepsy Expo,"=HYPERLINK(""https://www.wane.com/video/more-vendors-expected-for-2nd-annual-epilepsy-expo/"")"
9,3rd annual New Haven Fire Muster is almost here,"=HYPERLINK(""https://www.wane.com/video/3rd-annual-new-haven-fire-muster-is-almost-here/"")"
10,Cash still king for smaller payments,"=HYPERLINK(""https://www.wane.com/video/cash-still-king-for-smaller-payments/"")"
11,Ed Sheeran teams up with Heinz Ketchup,"=HYPERLINK(""https://www.wane.com/video/ed-sheeran-teams-up-with-heinz-ketchup/"")"
12,Blue-green algae in lakes brings danger to your pets,"=HYPERLINK(""https://www.wane.com/top-stories/blue-green-algae-in-lakes-brings-danger-to-your-pets/"")"
13,Pilot hailed as hero after bird strike disables Russian jet,"=HYPERLINK(""https://www.wane.com/video/pilot-hailed-as-hero-after-bird-strike-disables-russian-jet/"")"
14,Groovy: Woodstock fans flock to concert site for anniversary,"=HYPERLINK(""https://www.wane.com/entertainment-news/groovy-woodstock-fans-flock-to-concert-site-for-anniversary/"")"
15,Identity of motorcyclist killed in crash on I-469 released,"=HYPERLINK(""https://www.wane.com/news/local-news/accident-on-i-469-kills-motorcyclist/"")"
